u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed,access,ref,bridge,width,tunnel
245665679,10750564862,0,1156018605,True,,tertiary,False,12.315,"LINESTRING (72.8858965 19.0587817, 72.885972 19.0588664)",,,,,,,,
245665679,2246471647,0,22854860,True,S G Barve Marg (C S T Road),secondary,False,155.112,"LINESTRING (72.8858965 19.0587817, 72.8855956 19.0592226, 72.8855807 19.0592428, 72.8850696 19.0599369)",,,,,,,,
245665680,245665597,0,22854155,False,,residential,True,66.145,"LINESTRING (72.9038573 19.0591177, 72.9038277 19.0585235)",,,,,,,,
245665680,245665723,0,22854142,False,Road 16,residential,False,342.424,"LINESTRING (72.9038573 19.0591177, 72.9028068 19.0591517, 72.9023624 19.0591661, 72.9006001 19.0591704)",,,,yes,,,,
245665680,1651414471,0,22854155,False,,residential,False,90.815,"LINESTRING (72.9038573 19.0591177, 72.9039713 19.0597989, 72.9040099 19.0599206)",,,,,,,,
245665702,1651421946,0,22854121,False,Road No 18,tertiary,False,117.062,"LINESTRING (72.8995596 19.0593098, 72.8987242 19.0586135)",,,,,,,,
245665702,10306082453,0,1127162199,False,Road No 20,residential,True,121.029,"LINESTRING (72.8995596 19.0593098, 72.8985082 19.0597538)",,,,,,,,
245665702,1643264330,0,22854121,False,Road No 18,tertiary,True,97.536,"LINESTRING (72.8995596 19.0593098, 72.8997433 19.0594209, 72.9002092 19.0597234, 72.9002762 19.0597475, 72.9003458 19.0597684)",,,,,,,,
245665723,9311818789,0,22854142,False,Road 16,residential,False,7.8,"LINESTRING (72.9006001 19.0591704, 72.9005259 19.0591717)",,,,yes,,,,
245665723,2322141826,0,617622259,True,D Saraswati Marg (Central Avenue),secondary_link,False,65.395,"LINESTRING (72.9006001 19.0591704, 72.9005881 19.0585824)",2,,,yes,,,,
245665723,245665680,0,22854142,False,Road 16,residential,True,342.424,"LINESTRING (72.9006001 19.0591704, 72.9023624 19.0591661, 72.9028068 19.0591517, 72.9038573 19.0591177)",,,,yes,,,,
245665748,10306082453,0,259332585,False,D K Sandu Marg,secondary,True,8.551,"LINESTRING (72.8985041 19.0598306, 72.8985082 19.0597538)",,,,,,,,
245665748,245665982,0,315452652,False,D K Sandu Marg,secondary,False,92.011,"LINESTRING (72.8985041 19.0598306, 72.8984338 19.0605233, 72.8984205 19.0606543)",,,,,,,,
245665776,1643351856,0,22854472,True,Ramakrishna Chemburkar Marg,secondary,False,33.905,"LINESTRING (72.8964358 19.0596332, 72.8966104 19.0598896)",2,,,,,,,
245665776,4264598311,0,152313455,False,Road No 15,residential,True,14.994,"LINESTRING (72.8964358 19.0596332, 72.8965668 19.0595798)",,,,,,,,
245665982,1651421961,0,1171548223,False,Road No 19,secondary,False,13.452,"LINESTRING (72.8984205 19.0606543, 72.8985443 19.0606236)",,,,,,,,
245665982,245665748,0,315452652,False,D K Sandu Marg,secondary,True,92.011,"LINESTRING (72.8984205 19.0606543, 72.8984338 19.0605233, 72.8985041 19.0598306)",,,,,,,,
245665982,1651414481,0,1126936384,False,D K Sandu Marg,tertiary,False,172.74800000000002,"LINESTRING (72.8984205 19.0606543, 72.8982914 19.0614446, 72.8982647 19.0617103, 72.8982278 19.0620768, 72.8982197 19.0621954)",,,,,,,,
245666164,10207397928,0,122303819,True,Mother Dairy Road,secondary,False,9.29,"LINESTRING (72.8834352 19.06202, 72.8835057 19.0620704)",,,,,,,,
245666164,1367093074,0,376621411,True,S.G. Barve Marg,secondary,False,13.549,"LINESTRING (72.8834352 19.06202, 72.8833503 19.0621117)",,,,,,,,
245666475,12882834605,0,1053255586,True,Ghatkopar - Mankhurd Link Road,trunk,False,12.883,"LINESTRING (72.9149519 19.0630091, 72.9148318 19.0630323)",3,,,,GMLR,,,
