osmid,y,x,street_count,highway,geometry
1232644986,19.0642315,72.8977483,3,,POINT (72.8977483 19.0642315)
1336408320,19.0522593,72.9168874,3,,POINT (72.9168874 19.0522593)
1336410620,19.0545188,72.914435,3,,POINT (72.914435 19.0545188)
1336410623,19.0535348,72.914297,4,traffic_signals,POINT (72.914297 19.0535348)
1351234029,19.0612301,72.908286,3,,POINT (72.908286 19.0612301)
1351234030,19.0606754,72.9127058,4,,POINT (72.9127058 19.0606754)
1351234053,19.0633795,72.9025325,3,,POINT (72.9025325 19.0633795)
1351247410,19.0620317,72.9175698,3,traffic_signals,POINT (72.9175698 19.0620317)
1351247411,19.0613343,72.9171401,3,,POINT (72.9171401 19.0613343)
1366008977,19.0650538,72.8807541,3,,POINT (72.8807541 19.0650538)
1366009007,19.066763,72.8825525,3,,POINT (72.8825525 19.066763)
1366009025,19.068241,72.8823152,1,,POINT (72.8823152 19.068241)
1366009050,19.0701287,72.8804319,3,,POINT (72.8804319 19.0701287)
1366009086,19.0746057,72.8838291,3,,POINT (72.8838291 19.0746057)
1366009129,19.0762088,72.8825456,3,,POINT (72.8825456 19.0762088)
1366009151,19.0770518,72.8833953,3,,POINT (72.8833953 19.0770518)
1366027980,19.0761381,72.8816826,4,,POINT (72.8816826 19.0761381)
1366027983,19.0772722,72.8857407,3,,POINT (72.8857407 19.0772722)
1366054221,19.0770508,72.8995913,3,,POINT (72.8995913 19.0770508)
1366794970,19.0553834,72.9111052,3,,POINT (72.9111052 19.0553834)
1366795076,19.0573668,72.9135601,3,,POINT (72.9135601 19.0573668)
1366795134,19.0589624,72.9143301,4,,POINT (72.9143301 19.0589624)
1366857439,19.0554078,72.9105434,3,,POINT (72.9105434 19.0554078)
1366857555,19.0621254,72.9005919,3,traffic_signals,POINT (72.9005919 19.0621254)
1366857600,19.0630759,72.8985532,3,,POINT (72.8985532 19.0630759)
1366857603,19.0647313,72.887957,3,,POINT (72.887957 19.0647313)
1366900426,19.0605357,72.9165115,3,,POINT (72.9165115 19.0605357)
1366900438,19.0619089,72.9031195,3,,POINT (72.9031195 19.0619089)
1366938229,19.0632504,72.9138851,3,,POINT (72.9138851 19.0632504)
1366938236,19.0636912,72.9124246,3,,POINT (72.9124246 19.0636912)
1366938254,19.0652085,72.8992768,4,traffic_signals,POINT (72.8992768 19.0652085)
1366938264,19.0650846,72.9069519,1,,POINT (72.9069519 19.0650846)
1366938274,19.0657801,72.9071188,3,,POINT (72.9071188 19.0657801)
