u,v,length
1451898156,1451898160,58.776
1451898158,1451898160,153.291
1451898158,2246472568,127.447
1451898158,4357300486,710.8880000000001
1451898160,9871528901,75.87899999999999
1451898160,1451898156,58.776
1451898160,1451898158,153.291
1462143098,10653480123,88.849
1462143098,1643047705,63.27
1473471962,245662490,216.10000000000002
1473471962,5539183022,318.65500000000003
1473471962,10939666075,84.836
1475178057,528785879,18.793
1642951755,1642951748,36.525000000000006
1642951800,12836695797,536.0219999999999
1642951800,1642951851,231.23199999999997
1642951818,6569231063,185.262
1642951818,245664866,116.94
1642951842,1642951853,66.325
1642951842,245664865,131.726
1642951846,1642951818,119.011
1642951851,1642951893,806.392
1642951851,1654348854,76.394
1642951853,1642951842,66.325
1642951853,2248802531,371.345
1642951853,2248802418,108.91499999999999
1642951881,10279771678,9.423
1642951881,10666025039,24.067
1642951881,1643351862,331.025
1642951891,1642951846,810.034
1642951891,10207346716,382.072
1642951893,6572189287,376.827
1643027254,4357300487,81.957
1643027254,4357300486,15.05
1643027254,3245616504,93.993
1643027254,2246472326,149.717
1643031072,12353418397,170.95
1643031072,2246472196,85.60300000000001
1643031072,2804433701,293.742
1643031073,10279771616,33.899
1643031073,4264598329,10.124
1643031078,4264598335,10.931
1643031078,1643035301,196.014
1643035294,10653480115,14.705
1643035294,10279771620,169.532
1643035296,2246472391,98.142
1643035296,1643035303,25.438
1643035300,10281959313,8.448
1643035300,2246472465,161.297
1643035301,4264598331,8.901
1643035301,2246472391,81.883
1643035301,6568869621,98.38
1643035303,2246472488,166.353
1643035303,8703487829,20.135999999999996
1643035306,1366054221,49.413
1643035306,10936416197,182.29
1643035306,6576183452,143.899
1643035306,2246472515,44.962
1643035308,11057926918,58.284
1643035308,3245670250,174.511
1643035308,1643047706,75.86500000000001
1643035308,1643047700,130.577
1643035309,10279730299,12.01
1643035309,3245670250,45.032
1643035311,4366100891,37.222
1643035311,2246472653,75.661
1643035312,1643047706,85.512
1643035312,245668490,204.569
1643047697,2246472488,76.278
1643047697,1643047700,193.77800000000002
1643047697,2246472465,73.502
1643047700,1643047697,193.77800000000002
1643047700,1643047704,71.143
1643047700,1643035308,130.577
1643047701,2246472600,74.299
1643047701,10279742510,14.087
1643047701,1643031078,152.389
1643047703,2246472590,56.951
1643047703,2246472636,11.936
1643047703,1643047704,77.238
1643047704,1643047703,77.238
1643047704,1643047706,127.992
1643047704,1643047700,71.143
1643047705,1462143098,63.27
1643047705,245668490,86.125
1643047706,1643035312,85.512
1643047706,1643047704,127.992
1643047706,1643035308,75.86500000000001
1643264250,2629741740,16.94
1643264250,9179231581,225.058
1643264260,1651421871,58.97
1643264273,2248802165,160.143
1643264273,10939514685,29.301
1643264325,245665723,57.020999999999994
1643264325,9311818800,25.145
1643264330,245665702,97.536
1643264330,1643264345,18.267
1643264345,1643264350,10.882
1643264345,10886219520,89.447
1643264350,1643264361,24.585
1643264361,7370608172,47.689
1643264361,10306082438,33.442
1643351764,2248801840,71.633
1643351764,2248801921,77.44
1643351764,4357272778,127.126
1643351765,245664842,66.983
1643351765,4357272778,81.344
1643351765,11242941359,61.115
1643351766,2629741747,16.873
1643351766,5838250417,215.424
1643351775,9311818809,63.741
1643351775,1643351789,88.867
1643351775,1643351781,156.119
1643351781,1643351775,156.119
1643351781,1643351807,126.09100000000001
1643351781,1651421877,34.137
1643351789,1643351775,88.867
1643351789,3214466799,78.059
1643351789,10279809021,71.728
1643351801,11052805071,16.82
1643351801,1367092773,282.515
1643351801,1651414398,69.33
1643351807,10279809016,32.036
1643351807,3214466795,28.844
1643351807,1643351781,126.09100000000001
1643351810,9311818796,7.811
1643351810,1643351817,59.451
1643351810,245665186,79.105
1643351817,1643351810,59.451
1643351817,1643351826,363.75100000000003
1643351824,3214466795,50.323
1643351824,10279809015,24.302
1643351826,1367092932,136.063
1643351826,1651414398,100.196
1643351828,9311818795,7.8
1643351828,1643351810,52.727
1643351829,1643351830,165.856
1643351829,9311818795,84.715
1643351829,3214466799,54.361
1643351830,1643351829,165.856
1643351830,1643351824,46.948
1643351839,9311818793,7.8
1643351839,245665344,14.38
1643351841,4357273830,17.879
1643351841,3215233951,172.036
1643351841,245665307,64.199
1643351843,10207397918,12.265
1643351843,245665583,45.392
1643351856,1651421959,91.077
1643351856,1651414472,297.83299999999997
1643351862,9857764833,150.195
1643351862,6573933919,7.285
1643351862,1642951881,331.025
1643351862,2248802449,521.298
1643351864,6572189287,17.841
1643351864,6293081321,58.292
1643351864,2248802788,151.29
1643351864,6571795846,371.92600000000004
1643351868,1643351870,59.898
1643351868,1651414487,179.272
1643351868,1232644512,131.674
1643351870,8711707695,183.297
1643351870,1643351868,59.898
1643351870,13055928897,227.409
1647285766,2246661033,42.331
1647285766,2246661036,158.834
1647285766,1366009025,34.771
1647285772,10939580924,39.673
1647285772,1647285777,100.426
1647285772,6575917462,167.525
1647285777,1647285772,100.426
1647285777,1647285780,34.879
1647285777,2246661041,129.29399999999998
1647285780,1647285777,34.879
1647285780,11042148860,83.83
1647285780,10939548717,75.881
1647285813,1366009129,54.891
1647285813,11045723145,47.287
1647285813,1366009151,96.105
1650809508,2439202872,936.5849999999999
1651387817,10207346711,12.666
1651387817,4362728161,62.488
1651404914,7362076297,10.216
1651404914,245664191,435.42400000000004
1651404914,12523105530,84.292
1651404921,4357273837,141.559
1651404921,10306082453,108.273
1651404921,245665637,43.508
1651404922,10886219520,7.647
1651404922,1643264350,87.644
1651404922,3376195596,259.456
1651414388,1367092768,97.164
1651414388,1367092731,270.842
1651414388,1651414402,341.59999999999997
1651414390,1651414421,316.74199999999996
1651414397,1651414424,167.975
1651414398,6488201811,107.893
1651414398,1643351801,69.33
1651414398,1643351826,100.196
1651414402,11052039298,51.763
1651414402,1651414388,341.59999999999997
1651414402,8695632893,137.048
1651414421,1367092912,57.881
1651414421,1651414390,316.74199999999996
1651414421,1366857439,69.11699999999999
1651414424,3547867171,45.889
1651414424,1367092912,96.011
1651414424,6575953820,45.51
1651414424,1651414397,167.97500000000002
1651414430,1654383162,59.746
1651414430,1651414431,40.412
1651414430,6575953821,45.138
1651414430,3532034726,54.352
1651414431,1651414430,40.412
1651414431,6575953820,43.718
1651414431,1651414448,142.688
1651414448,1651414449,4.618
1651414448,1651414431,142.688
1651414448,2957204347,148.082
1651414449,1651414458,63.699
1651414449,1651414448,4.618
1651414449,1367092973,246.87900000000002
1651414450,1367092932,92.143
1651414450,1651414451,51.699
1651414450,1651414452,87.173
1651414451,245665597,64.614
1651414451,245665475,2.766
1651414451,1651414450,51.699
1651414452,1651414471,326.572
1651414452,1651414450,87.173
1651414452,6574225213,77.389
1651414458,1651414449,63.699
1651414460,9311818790,75.61
1651414460,3215233951,189.714
1651414460,1651421946,112.516
1651414471,1367092999,71.198
1651414471,245665680,90.815
1651414471,1651414452,326.57200000000006
1651414472,6293072354,119.156
1651414472,2248802699,38.142
1651414472,1643351856,297.83299999999997
1651414478,6571923643,7.338
1651414478,5865538272,384.211
1651414481,10061003741,35.812
1651414481,245665982,172.748
1651414487,1643351868,179.272
1651414487,2248802798,46.131
1651414487,9857764833,335.938
1651414487,6571923643,222.507
1651421871,1651421877,222.729
